Model,RMSE,MAE,R²
Linear Regression,33953.17454274916,9604.70698029444,-4.438254001304564
Ridge Regression,33824.58087016735,9544.522195503872,-4.397138508689515
Lasso Regression,33924.35927202235,9567.536783510794,-4.4290272784668705
Random Forest,6490.552104828373,538.6071319676938,0.8012706567192633
Gradient Boosting,17236.810002792176,1101.7477620099646,-0.4015626161281489
SVR,14620.078243251985,1350.1036380414876,-0.008319369026787093
XGBoost,6779.704889822987,488.92216903274704,0.7831695374837013
